name,date,sales,note,parent,
Mario,"July 9, 1981",760.21,"Mario first appeared in 1981 in the original Donkey Kong, before starring in Mario Bros., followed by the Super Mario series of platform games. The character was created by Japanese game designer Shigeru Miyamoto and has since become the official mascot of Nintendo, owner of the trademark. The games are developed by various Nintendo studios. The Mario franchise has expanded into other game genres, including racing, sports, party, puzzle, and role-playing games. It has also found success in numerous other media, including three animated television series, comic books, a manga, a film and other merchandise. It is currently the best-selling video game franchise of all time. It is also the oldest in the 100 million+ group. Sales:  Super Mario series: 383.54 million, Mario Kart series: 166.41 million, Mario Party series: 64.93 million, Mario Sports series: 43.96 million, Mario RPG series: 28.87  million, Other Mario games: 70.48 million",At least 200 million copies,
Tetris,"January 29, 1988",495,"Tetris is a falling-blocks puzzle video game created by Soviet game designer Alexey Pajitnov in 1984. Tetris variants were later commercialized and released on a vast spectrum of platforms, from video game consoles and computers to mobile devices and calculators, with the version bundled with the Game Boy selling over 35 million units, while various mobile games had seen over 425 million paid downloads by 2014.[38] It is the most successful video game franchise to originate from Russia and the former Soviet Union, the best-selling puzzle video game series and the best-selling video game franchise not owned by Nintendo. Mobile game paid downloads: 425 million, Physical sales: 70 million",At least 200 million copies,
Pokémon,"February 27, 1996",440,"Pokémon was created by Satoshi Tajiri, founder and president of Game Freak, in 1996 as a role-playing video game for the Game Boy handheld game console, soon turning into the highest-grossing media franchise of all time. The franchise as a whole includes an anime series, various manga, a trading card game, toys, merchandise, books, over twenty films (one of the highest-grossing animated film series), and other media. It is produced by The Pokémon Company, which is a joint venture by the three companies holding the rights to Pokémon: Nintendo, Game Freak, and Creatures, while Nintendo owns the trademark.",At least 200 million copies,
Call of Duty,"October 29, 2003",425,"Call of Duty is a series of first-person shooter video games. The series is published by Activision and developed by Infinity Ward, Gray Matter Studios, Treyarch, Sledgehammer Games, Raven Software, Neversoft, High Moon Studios, and Beenox. With new games in the series released annually to blockbuster-level sales, the series is verified by the Guinness World Records as the best-selling first-person shooter game series. It is also the most successful video game franchise created in the United States. In addition to main series sales, there have been over 500 million downloads of the mobile spin-off Call of Duty: Mobile.",At least 200 million copies,
Super Mario,"September 13, 1985",383.54,The Super Mario series of platform games began in 1985 and features the iconic character Mario. The series forms the core of the larger Mario franchise.,At least 200 million copies,
Grand Theft Auto,"November 28, 1997",380,"Grand Theft Auto is an open-world action-adventure video game series created by David Jones and Mike Dailly; the later titles of which were created by brothers Dan and Sam Houser, Leslie Benzies and Aaron Garbut. It is primarily developed by Scottish developer Rockstar North and published by Rockstar Games, and consists of eleven stand-alone games and four expansion packs. Grand Theft Auto is the most successful video game franchise originating from the United Kingdom and is the best-selling action-adventure and open-world series. The series best-selling game, Grand Theft Auto V, is the second best-selling video game of all time with over 169 million copies shipped.",At least 200 million copies,
FIFA,"December 15, 1993",325,,At least 200 million copies,
Final Fantasy,"December 18, 1987",168,"Final Fantasy is a Japanese science fantasy media franchise created by Japanese video game designer Hironobu Sakaguchi and owned by Square Enix. The franchise encompasses fifteen signature role-playing video games alongside a number of spin-off games, motion pictures, and many other consumer products and interactive media.",At least 100 million copies,
Mario Kart,"August 27, 1992",168,"Mario Kart is a series of kart racing games developed and published by Nintendo. The series is a spin-off of the Mario franchise and has spawned nine main games, one enhanced game, four arcade games and a mobile game. It is currently the most successful racing game franchise of all time.",At least 100 million copies,
Sonic the Hedgehog,"June 23, 1991",151.41,"Sonic the Hedgehog is a Japanese video game franchise created and owned by Sega. Starring its namesake character Sonic the Hedgehog, created by Japanese game designer Yuji Naka and character designer Naoto Ohshima, it has expanded into a media franchise spanning several animated television series, manga, comic books, and a live-action film series.",At least 100 million copies,
Need for Speed,"August 31, 1994",150,"Need for Speed is a series of racing video games published by Electronic Arts, and has been developed by multiple companies over the years such as EA Black Box and Criterion Games. There are over 25 games in the series. and a live-action film.",At least 100 million copies,
Madden NFL,"June 1, 1988",130,"Madden NFL is an American football video game series developed by Electronic Arts Tiburon for EA Sports. The series is named after Pro Football Hall of Famer John Madden, a color commentator and Super Bowl-winning head coach.",At least 100 million copies,
The Legend of Zelda,"February 21, 1986",128.17,"The Legend of Zelda is an action-adventure game franchise created by Japanese game designers Shigeru Miyamoto and Takashi Tezuka. It is primarily developed and published by Nintendo, although some portable installments and re-releases have been outsourced to Capcom, Vanpool, and Grezzo. The gameplay incorporates action-adventure and elements of action role-playing games.",At least 100 million copies,
Resident Evil,"March 22, 1996",127,"Resident Evil, known in Japan as Biohazard, is a Japanese horror media franchise, created by Shinji Mikami and Tokuro Fujiwara, developed by Capcom. It consists of a survival horror video game series, along with comic books, novelizations, it has spanning into a live action films series, animated films, an animated television series, a live action television series, Japanese plays and a variety of collectibles, including action figures.",At least 100 million copies,
Star Wars,May 83,119.371,"The Star Wars series of video games is part of the sci-fi fantasy media franchise of the same name. Series within it include Lego Star Wars, Star Wars: Battlefront, Star Wars: Rogue Squadron and Star Wars Jedi: Fallen Order.",At least 100 million copies,
NBA 2K,"November 10, 1999",118,"NBA 2K is a series of basketball sports games. Originally published by Sega under the label Sega Sports, it is now published by 2K Sports. All of the games in the series have been developed by Visual Concepts.",At least 100 million copies,
Wii Sports,"November 19, 2006",114.52,"The Wii Sports series of sports games created for the Nintendo Wii console in 2006. Its success led to the Wii video game series, of which it is a sub-series. The first game in the series, Wii Sports, was bundled with the original Wii console and is one of the best-selling games of all time.",At least 100 million copies,
Pro Evolution Soccer,"July 21, 1995",111,Pro Evolution Soccer (known as World Soccer: Winning Eleven in Japan) is a series of association football video games developed and published by Konami.,At least 100 million copies,
Tomb Raider,"November 15, 1996",88,"Tomb Raider is series of Action-adventure video games, formerly developed by Core Design and published by Eidos Interactive, it is now developed by Crystal Dynamics and published by Square Enix Europe. The series focuses on the adventures of fictional British archaeologist Lara Croft. The franchise has also spanned films, comic books, novels and animated series.",At least 50 million copies,
Dragon Quest,"May 27, 1986",84,"Dragon Quest, known as Dragon Warrior in North America until the 2005 release of Dragon Quest VIII: Journey of the Cursed King, is a series of Japanese role-playing video games created by Yuji Horii, with character design by manga artist Akira Toriyama and published by Square Enix (formerly Enix).",At least 50 million copies,
Monster Hunter,"September 21, 2004",84,"Monster Hunter is a series of action role-playing games developed and published by Capcom. In it players take the role of a hunter in a fantasy environment and complete quests by seeking out monsters to hunt or capture. The franchise has also spanned a live-action film, and an animated film.",At least 50 million copies,
Tom Clancy's,"August 21, 1998",82,"Includes sales from Tom Clancy–branded games developed by Ubisoft, including Ghost Recon, Rainbow Six, Splinter Cell, and The Division.",At least 50 million copies,
Halo,"November 15, 2001",81,"Halo is a science fiction, predominantly first-person shooter video game series created by Bungie and published by Xbox Game Studios. It has been adapted into over thirty novels, several comic series, graphic novels, numerous action figures, and an anime series. The series centers on an interstellar war between humanity and an alliance of aliens known as the Covenant. After Bungie gained independence from Microsoft in 2007, 343 Industries took control of the franchise. It is the highest-selling video game franchise exclusive to Xbox. The franchise has spanned a live action television series.",At least 50 million copies,
Gran Turismo,"December 23, 1997",80.4,"Gran Turismo (Italian for ""grand tourer"" or ""grand touring""), abbreviated GT, is a series of racing video games created by Kazunori Yamauchi for the PlayStation line of game systems. Developed by Polyphony Digital, Gran Turismo games are intended to emulate the appearance and performance of a large selection of vehicles, nearly all of which are licensed reproductions of real-world automobiles. Since the franchise's debut in December 1997, over 80 million units have been sold worldwide across the history of PlayStation systems, making it the highest-selling video game franchise exclusive to PlayStation.",At least 50 million copies,
Worms,"November 17, 1995",75,"Worms is a series of artillery tactical video games developed by British company Team17. In these games, small platoons of anthropomorphic worms battle each other across a deformable landscape with the objective being to become the sole surviving team. The games are noted for their cartoony animation and extensive use of surrealism and slapstick humour.",At least 50 million copies,
Mortal Kombat,"October 8, 1992",73,"Mortal Kombat is a series of fighting games created in 1992 by Ed Boon and John Tobias. The series has become one of the most successful fighting game franchises. It has a reputation for high levels of violent content. It is currently the best-selling fighting game franchise. The franchise has also spanned a live-action film series, and animated films.",At least 50 million copies,
Animal Crossing,"April 14, 2001",73.34,"Animal Crossing, is a social simulation game series developed and published by Nintendo. In it the player character is a human who lives in a village inhabited by anthropomorphic animals and lives a virtual life where in-game time matches real time.",At least 50 million copies,
Borderlands,"October 20, 2009",72,Borderlands is a series of action role-playing first-person shooter video games created by Gearbox Software. The franchise has spanned a live action film.,At least 50 million copies,
Just Dance,"November 17, 2009",70,"Just Dance is a series of dance and music video games published by Ubisoft. It also includes games outside of the name Just Dance, such as Michael Jackson: The Experience. It is the best-selling dance / music game franchise.",At least 50 million copies,
Super Smash Bros.,"January 21, 1999",69.79,Super Smash Bros. is a series of fighting games published by Nintendo and created by Masahiro Sakurai. It features characters and elements from various Nintendo franchises and later installments also include third-party franchises as well.,At least 50 million copies,
Red Dead,"May 4, 2004",68,"Red Dead is a series of Western-themed action-adventure games published by Rockstar Games. Originally developed by Capcom, Rockstar eventually acquired the rights and expanded on it.",At least 50 million copies,
Dragon Ball,"September 27, 1986",66.5,"Dragon Ball was created by Akira Toriyama in 1984 and is composed primarily of multiple manga series, numerous anime series, a collection of animated feature films, video games, and a collectible trading card game, as well as other collectibles like action figures.",At least 50 million copies,
Mario Party,"December 18, 1998",66.93,Mario Party is a series of multiplayer party games featuring characters from the Mario franchise in which four players compete in a board game interspersed with minigames. Most of the Mario Party games have been developed by Hudson Soft and is published by Nintendo.,At least 50 million copies,
Donkey Kong,"July 9, 1981",65,"Donkey Kong is a video game series created by Shigeru Miyamoto when he was assigned at Nintendo during the early 1980s to build a game that would appeal more to Americans on the arcade hardware of Radar Scope, a game that had been released to test audiences with poor results. The success of the arcade game Donkey Kong led to the creation of both the Donkey Kong and Mario franchises. Although appearing as a playable character in several Mario spin-off titles, Donkey Kong would not star in his own series of games until Donkey Kong Country in 1994. The franchise has spanned an animated film.",At least 50 million copies,
The Oregon Trail,"December 3, 1971",65,"The Oregon Trail is a series of educational computer games that began with the first edition originally developed by Don Rawitsch, Bill Heinemann, and Paul Dillenberger in 1971 and produced by the Minnesota Educational Computing Consortium (MECC) in 1974. The original game was designed to teach school children about the realities of 19th-century pioneer life on the Oregon Trail. The player assumes the role of a wagon leader guiding a party of settlers from Independence, Missouri, to Oregon's Willamette Valley via a covered wagon in 1848.",At least 50 million copies,
WWE 2K,"February 29, 2000",63,WWE 2K (formerly WWF SmackDown! and WWE SmackDown vs. Raw) is a series of professional wrestling video games released by 2K Sports (formerly by THQ). The games were formerly developed by Japanese game developer Yuke's.,At least 50 million copies,
The Elder Scrolls,"March 25, 1994",58.5,The Elder Scrolls (abbreviated TES) is an action role-playing and open world video game series by Bethesda Softworks.,At least 50 million copies,
Metal Gear,"July 13, 1987",58.3,"Metal Gear is a series of stealth games created by Japanese game designer Hideo Kojima and developed and published by Konami. The first game, Metal Gear, was released in 1987 for the MSX. The franchise also includes a novel, radio drama, comic books, and a toy line.",At least 50 million copies,
Battlefield,"September 10, 2002",57,"Battlefield is a series of First-person shooter video games developed by EA DICE and Visceral Games, published by Electronic Arts. The games feature a focus on large maps and vehicle warfare.",At least 50 million copies,
Civilization,Sep 91,57,"Civilization is a series of turn-based strategy video games. Sid Meier developed the first game in the series and has had creative input for most of the rest. The basic gameplay functions are similar throughout the series, namely, guiding a civilization on a macro-scale from prehistory to the present day.",At least 50 million copies,
Tekken,"December 9, 1994",53.5,"Tekken is a series of fighting games produced by Katsuhiro Harada, developed and published by Bandai Namco Entertainment (formerly by Namco). Originally exclusive to arcades, games have since been released for consoles, personal computers and mobile devices.",At least 50 million copies,
Spider-Man,1982,53.2,"There have been numerous video games featuring the popular Marvel Comics superhero Spider-Man have been released. To date, Spider-Man has made appearances on over 15 gaming platforms, which also includes mobile games on mobile phones.",At least 50 million copies,
God of War,"March 22, 2005",52,"God of War is an action-adventure game franchise created by David Jaffe. All of the main games have been developed by Santa Monica Studio, with the other entries being done by Ready at Dawn and Javaground/SOE-LA. The multimedia franchise is loosely based on Greek and Norse mythology. The central story revolves around the Spartan warrior Kratos' quest for vengeance (Greek games) and later redemption (Norse games). The franchise has spanned a television series.",At least 50 million copies,
Bejeweled,"May 30, 2001",50,Bejeweled is a series of puzzle video games first developed as a browser game by PopCap Games in 2001.,At least 50 million copies,
Far Cry,"March 23, 2004",50,"Far Cry is a first-person shooter video game franchise originally developed by Crytek, later by Ubisoft Montreal and published by Ubisoft.",At least 50 million copies,
Diablo,"January 3, 1997",50,Diablo is an action role-playing hack and slash dungeon crawler video game series developed by Blizzard North and published and later developed by Blizzard Entertainment.,At least 50 million copies,
The Witcher,"October 26, 2007",50,"The Witcher is a series of action role-playing games based on the series of novels of the same name by Polish author Andrzej Sapkowski. The Witcher takes place in a medieval fantasy world and follows the story of Geralt, one of a few remaining ""witchers"" – traveling monster hunter for hire, gifted with unnatural powers. The franchise has spanned a live action television series.",At least 50 million copies,
Lego Star Wars,"April 5, 2005",50,A series of action-adventure video games based on the Lego brand of toys and the Star Wars franchise.,At least 50 million copies,
Crash Bandicoot,"September 9, 1996",50,Crash Bandicoot is a series of platform games originally created and developed by Naughty Dog exclusively for the PlayStation.,At least 50 million copies,
Destiny,"September 9, 2014",50,Destiny is an online-only multiplayer first-person shooter video game series developed by Bungie and previously published by Activision.,At least 50 million copies,
Street Fighter,"August 30, 1987",48,"Street Fighter is a series of fighting games developed and published by Capcom. The series has grown into a media franchise covering comic books, anime series and movies. Its best-selling release, Street Fighter II is credited with establishing many of the conventions of the one-on-one fighting genre.",At least 20 million copies,
Pac-Man,"June 01, 1980",44.581,"Pac-Man is a Japanese video game franchise currently owned and published by Bandai Namco Entertainment, formerly Namco. The eponymous first entry was released in arcades in 1980 by Namco during the golden age of arcade video games. Most games in the franchise are maze chase games however it has delved into other genres such as platform, racing and sports.",At least 20 million copies,
Uncharted,"November 20, 2007",44.02,Uncharted is a series of action-adventure and third-person shooter video games developed by Naughty Dog and published by Sony Computer Entertainment. Most games follow the adventures of treasure hunter Nathan Drake. The franchise has spanned a live-action film series,At least 20 million copies,
Mario Sports,"May 1, 1984",43.96,There have been numerous sports games in the Mario franchise. The first sports game featuring Mario was Golf in 1984.,At least 20 million copies,
Wii Fit,"November 19, 2006",43.7,The Wii Fit series of exergaming video games was created by Shigeru Miyamoto for the Nintendo Wii console in 2007. It is a sub-series of the Wii series.,At least 20 million copies,
Star Wars: Battlefront,"September 21, 2004",43,"Star Wars: Battlefront is a series of first- and third-person shooters based on the Star Wars films. Pandemic Studios developed the first two installments, while later entries were developed by Rebellion Developments and EA DICE. LucasArts was the sole publisher until 2013 when Electronic Arts took over.",At least 20 million copies,
Guitar Hero,"November 8, 2005",40,"Guitar Hero is a series of music and rhythm video games published by RedOctane and Activision, and developed by Harmonix Music Systems from 2005 to 2007 before development duties of the series were transferred to Neversoft.",At least 20 million copies,
Harry Potter,"November 15, 2001",40,"Based on the Harry Potter novels by British writer J. K. Rowling, games in the series have been published by Electronic Arts and Warner Bros. Interactive Entertainment.",At least 20 million copies,
Medal of Honor,"November 11, 1999",39,Medal of Honor is a series of first-person shooter games with most of the games set during World War II. The series is published by Electronic Arts.,At least 20 million copies,
Kirby,"April 27, 1992",38.81,"Kirby is a series of platform games developed by HAL Laboratory and published by Nintendo. The series centers around the adventures of a young, pink alien hero named Kirby.",At least 20 million copies,
Fallout,"September 30, 1997",38,"Fallout is a series of post-apocalyptic role-playing video games. It was created by Interplay Entertainment and later developed by Bethesda Game Studios and Obsidian Entertainment, and published by Bethesda Softworks.",At least 20 million copies,
Mega Man,"December 17, 1987",38,"Mega Man, known as Rockman in Japan, is a series of video games created by Capcom, starring a series of characters each known by the moniker ""Mega Man"". The franchise has spanned a live action film.",At least 20 million copies,
Total War,"June 13, 2000",37.8,"Total War is a series of strategy video games developed by Creative Assembly and owned and published by Sega for personal computers. Its games combine turn-based strategy and resource management, with real-time tactical control of battles.",At least 20 million copies,
BioShock,"August 21, 2007",37,"BioShock is a retrofuturistic video game series published by 2K Games and developed by several studios, including Irrational Games which created the series. It is considered a spiritual successor to the System Shock series, on which many of Irrational's team had worked previously. The franchise has spanned a live action film.",At least 20 million copies,
Counter-Strike,"November 8, 2000",35.7,"Counter-Strike is a series of tactical first-person shooter games that began as a mod for the game Half-Life. The series has since been developed by Valve, and published by Sierra Entertainment and Valve.",At least 20 million copies,
NBA Live,"October 01,  1994",35,NBA Live is a series of basketball video games developed and published by EA Sports annually since 1995.,At least 20 million copies,
Kingdom Hearts,"March 28, 2002",35,"Kingdom Heart is a series of action role-playing games developed and published by Square Enix (previously by Square) and is owned by The Walt Disney Company. It is the result of a collaboration between Disney Interactive Studios and Square Enix, and is under the direction of Tetsuya Nomura, a longtime Square Enix character designer.",At least 20 million copies,
Football Manager,"November 5, 2004",34,"Football Manager is a series of association football management simulation games developed by Sports Interactive and published by Sega. The game began its life in 1992 as Championship Manager; however, following the break-up of their partnership with original publishers Eidos Interactive, Sports Interactive lost the naming rights and re-branded the game Football Manager with their new publishers Sega.",At least 20 million copies,
Brain Age,"May 19, 2005",33.89,"Brain Age, also known as Dr. Kawashima's Brain Training, is a series of video games developed and published by Nintendo, based on the work of Ryuta Kawashima.",At least 20 million copies,
Marvel's Spider-Man,"September 07, 2018",33,"Marvel's Spider-Man is a series of video games developed by Imsomniac Games and published by Sony Interactive Entertainment, based on the Marvel Comics character Spider-Man.",At least 20 million copies,
Saints Row,"August 29, 2006",32,"Saints Row is an action-adventure video game series created by Volition. The gameplay consists of a mixture of action, adventure and driving and has gained controversy for its adult nature and violent themes. The games in the series are written as comedies that feature popular culture homages and parodies, as well as self-referential humor.",At least 20 million copies,
Tom Clancy's Splinter Cell,"November 18, 2002",31,"Splinter Cell is a series of stealth video games part of the Tom Clancy-universe. The franchise is owned by Tom Clancy's company, Rubicon, and is licensed to Ubisoft who develops and publishes the games. It spawned a series of novels in 2004 written under the pseudonym David Michaels.",At least 20 million copies,
Gundam,1983,30.9044,"Gundam is a long-running anime series featuring giant robots or mecha, created by animation studio Sunrise in 1979. Video games based on the franchise have been released since 1983; games in the series are currently published by Namco Bandai Games.",At least 20 million copies,
The Last of Us,"June 14, 2013",30,"The Last of Us is a series of action-adventure games developed by Naughty Dog and published by Sony Computer Entertainment. The games revolve around teenager Ellie and her struggle to survive in a post-apocalyptic United States, after society collapsed because of a viral virus infection that transforms humans into monster-like creatures. The franchise has spanned a live action television series.",At least 20 million copies,
James Bond,1982,30,"James Bond is a media franchise starring the titular James Bond, a fictional British agent, created in 1952 by British writer Ian Fleming. There are over 20 video games based on the franchise and it has been published by several companies including Nintendo and Electronic Arts. The license is currently held by Activision. The best-known game in the franchise is GoldenEye 007, developed by Rare and published by Nintendo.",At least 20 million copies,
Tony Hawk's,"September 30, 1999",30,"Tony Hawk's is a skateboarding video game series endorsed by the eponymous American professional skateboarder. The series was created by game developer Neversoft and was published by Activision from 1999 to 2015, Maple Media in 2016, and Activision again in 2020.",At least 20 million copies,
Command & Conquer,"September 26, 1995",30,"Command & Conquer is a real-time strategy (RTS) video game franchise, first developed by Westwood Studios. The first game was one of the earliest of the RTS genre, itself based on Westwood Studios' influential strategy game Dune II and introducing trademarks followed in the rest of the series.",At least 20 million copies,
Dark Souls,"September 22, 2011",29.34,Dark Souls is a series of action role-playing games developed by FromSoftware and published by Bandai Namco Entertainment.,At least 20 million copies,
The Walking Dead,"April 24, 2012",28,"The Walking Dead is an episodic adventure game series developed and published by Telltale Games, based on The Walking Dead comic book series.",At least 20 million copies,
Nintendogs,"April 21, 2005",27.95,"Nintendogs is a real-time pet simulation video game series developed and published by Nintendo for the Nintendo DS and Nintendo 3DS handheld game consoles, originally released in three versions, plus two additional versions, all differing only in the starting available dogs to play with.",At least 20 million copies,
Half-Life,"November 19, 1998",27.6,"Half-Life is a series of first-person shooter games developed and published by Valve. The games combine shooting combat, puzzles, and storytelling.",At least 20 million copies,
Kinect,"October 9, 2010",27,The Kinect series of games includes many different games which utilize motion controls by way of the motion sensing Kinect camera.,At least 20 million copies,
Ratchet & Clank,"November 4, 2002",26,Ratchet & Clank is a series of platform and third-person shooter games. The franchise was created and developed by Insomniac Games and published by Sony Computer Entertainment for PlayStation consoles.,At least 20 million copies,
Gears of War,"November 7, 2006",26,"Gears of War is a video game franchise created by Epic Games, developed and managed by The Coalition, and owned and published by Xbox Game Studios. The franchise consists of six third-person shooter video games, which has also been supplemented by comics and novels. It focuses on the conflict between humanity, the subterranean reptilian hominids known as the Locust Horde, and their mutated counterparts, the Lambent.",At least 20 million copies,
Rayman,"September 1, 1995",26,"Rayman is a franchise of platform video games, published by Ubisoft. Created in 1995 by French graphic artist Michel Ancel, the main character of the series, Rayman, became an official mascot of its publisher, Ubisoft. The Rayman series does not include the Raving Rabbids series. The franchise has spanned an animated television series.",At least 20 million copies,
Tom Clancy's Rainbow Six,"August 21, 1998",26,"Rainbow Six is a media franchise created by American author Tom Clancy about a fictional international counter-terrorist unit called ""Rainbow"". The franchise began with Clancy's novel Rainbow Six, which was adapted into a series of tactical third-person shooter video games. Initially developed by Red Storm Entertainment, they were later acquired by Ubisoft, who currently develops and publishes the games.",At least 20 million copies,
Devil May Cry,"August 23, 2001",26,Devil May Cry is an action-adventure hack and slash video games series developed and published by Capcom and created by Hideki Kamiya.,At least 20 million copies,
Tales,"December 15, 1995",25.84,The Tales series is a media franchise of role-playing video games created by Wolf Team and formerly published by Namco. The series is currently developed and published by Bandai Namco Entertainment.,At least 20 million copies,
Mario & Sonic,"November 6, 2007",25,Mario & Sonic is a series of crossover sports games featuring characters from the Mario and Sonic the Hedgehog franchises.,At least 20 million copies,
Marvel,1982,25,There have been numerous video games based on Marvel Comics characters. Sub-series include games based on Spider-Man and the X-Men.,At least 20 million copies,
Tom Clancy's Ghost Recon,"November 13, 2001",25,"Ghost Recon is a series of military tactical shooter video games created by Red Storm Entertainment, the game development studio founded by American author Tom Clancy, and published by Ubisoft.",At least 20 million copies,
Tiger Woods PGA Tour,1998,25,"Tiger Woods PGA Tour is a series of golf video games developed and published by Electronic Arts and later their EA Sports sub-label, featuring professional golfer Tiger Woods, among others on the PGA Tour.",At least 20 million copies,
Age of Empires,"October 26, 1997",25,Age of Empires is a series of historical real-time strategy video games originally developed by Ensemble Studios and published by Xbox Game Studios.,At least 20 million copies,
Luigi,1990,24.16,"Luigi is a video game series of platform games and puzzle games that is a spin-off of the Mario franchise published and produced by Nintendo. The series revolves around Luigi, Mario's brother.",At least 20 million copies,
Petz,1995,24,"Petz (Dogz and Catz) is a series of games in which the player can adopt, raise, care for and breed their own virtual pets.",At least 20 million copies,
Mystery Dungeon,"September 19, 1993",23.91,"Mystery Dungeon is a franchise mixing roguelike and role-playing, created and owned by Spike Chunsoft. Since 1993, the franchise had numerous crossovers and, in 1995, the original Shiren the Wanderer sub-series.",At least 20 million copies,
Power Pros,1994,23.5,"Power Pros is a baseball video game series created by Konami. It is a traditionally Japan-only series, and is known for its super deformed characters and arcade-style gameplay. It has several spin-off series, including Professional Baseball Spirits which are more realistic simulation games.",At least 20 million copies,
Megami Tensei,"September 11, 1987",22.7,Megami Tensei is a franchise of role-playing video games created by Atlus and owned by Sega. It includes the Persona sub-series.,At least 20 million copies,
Batman,1986,22,Batman is a series of video games based on the DC Comics character of the same name.,At least 20 million copies,
Yu-Gi-Oh!,"July 01,  1998",21.8,Yu-Gi-Oh! is a series of video games based on the Japanese anime and manga franchise created by Kazuki Takahashi. Games in the series have been developed and published by Konami.,At least 20 million copies,
Splatoon,"May 29, 2015",21.7,Splatoon is a franchise of third person shooters created by Nintendo. The series centers around fictional cephalopods known as Inklings and Octolings – based on squids and octopuses respectively – which can transform between humanoid and cephalopod forms at will.,At least 20 million copies,
Microsoft Flight Simulator,"November 01, 1982",21,Microsoft Flight Simulator is a series of amateur flight simulation video games published by Microsoft.,At least 20 million copies,
Dynasty Warriors,"February 28, 1997",21,"Dynasty Warriors is a series of tactical action video games created by Koei which began as a spin-off of Koei's turn-based strategy Romance of the Three Kingdoms series, based loosely around the Chinese epic of the same name.",At least 20 million copies,
Imagine,"February 21, 2007",21,"Imagine is a series of simulation video games published by Ubisoft, aimed primarily at girls aged 6 to 14 released from 2007 onwards.",At least 20 million copies,
Naruto: Ultimate Ninja,"October 23, 2003",20.8,"Naruto: Ultimate Ninja is a video game franchise based on Naruto series, developed by CyberConnect2 and published by Bandai Namco Entertainment. The series consists mainly of fighting games.",At least 20 million copies,
Prince of Persia,"October 3, 1989",20,"Prince of Persia is a video game franchise created by Jordan Mechner, originally developed and published by Brøderbund, then The Learning Company, and currently by Ubisoft. The franchise is built around a series of action-adventure games focused on various incarnations of the eponymous prince. and a live-action film.",At least 20 million copies,
Castlevania,"September 26, 1986",20,"Castlevania is an action-adventure gothic horror video game series about vampire hunters created and developed by Konami. The franchise has also expanded into other media, including comic books, an animated TV series and several spin-off video games.",At least 20 million copies,
Frogger,"June 5, 1981",20,"Frogger is video game franchise created and developed by Konami and originally published by Sega and Gremlin Industries for arcade in 1981; it is currently owned, developed, and published by Konami. Frogger has seen numerous sequels and re-releases for a number of platforms including personal computers, video game consoles, and mobile devices. The given sales figure does not include arcade game sales.",At least 20 million copies,
J.B. Harold,"August 01, 1986",20,"J.B. Harold is a series of mystery adventure games. It began with J.B. Harold Murder Club, released by Riverhillsoft for the NEC PC-98 computer in 1986, and the series has since been released on various platforms.",At least 20 million copies,
Lemmings,"February 14, 1991",20,"Lemmings is a puzzle video game, originally developed by DMA Design (now Rockstar North) for the Commodore Amiga, and owned by Psygnosis (now Sony Computer Entertainment Liverpool) who published it in 1991.",At least 20 million copies,
Simple,1998,20,"The Simple series is a number of budget-priced video games, published by Japanese company D3 Publisher and developed by a variety of companies, covering many systems.",At least 20 million copies,
SingStar,"May 21, 2004",20,"SingStar is a competitive karaoke video game series for the PlayStation family, published by Sony Computer Entertainment Europe and developed by London Studio. Fifteen English-language installments of the series have been released for the PlayStation 2, with recent versions also released for the PlayStation 3.",At least 20 million copies,
SpongeBob SquarePants,"March 15, 2001",20,SpongeBob SquarePants is an American animated television series and media franchise. The games were formerly published by THQ and Activision; it is currently published by THQ's successor THQ Nordic.,At least 20 million copies,
Spyro,"September 10, 1998",20,"Spyro is a series of platform video games which feature the protagonist Spyro, a dragon. Originally owned by Universal Pictures and developed by Insomniac Games, the franchise has changed hands and developers numerous times before being acquired by Activision in 2008. The series spawned the toys-to-life spin-off, Skylanders.",At least 20 million copies,
Mass Effect,"November 20, 2007",20,"Mass Effect is a science fiction third-person shooter, action role-playing video games series developed by BioWare and published by Electronic Arts.",At least 20 million copies,
SimCity,"February 2, 1989",20,"SimCity is an open-ended city-building video game series originally designed by Will Wright. The first game in the series was published by Maxis, now a division of Electronic Arts.",At least 20 million copies,
Raving Rabbids,"November 14, 2006",20,"Raving Rabbids is a video game franchise spin-off of the Rayman series, developed and published by Ubisoft. The series consists mainly of party video games.",At least 20 million copies,
Watch Dogs,"May 27, 2014",20,"Watch Dogs is an action-adventure game franchise developed and published by Ubisoft. The franchise has spanned comic books, novelizations, and animated television series.",At least 20 million copies,
